zinc_id,smiles,pChEMBL Value,dock_affinity(kcal/mol)
ZINC000001624424,COC(=O)/C(NNc1nnc(C)n1N)=C(/C#N)c1ccccc1,7.74492073059082,-7.1
ZINC000063533533,COC(=O)c1c(C)[nH]c(C(=O)NCC(=O)Nc2cn[nH]c2)c1C,7.970462799072266,-7.1
ZINC000034405475,O=C1Cc2ccc([nH]2)CC(=O)NCCc2ccc([nH]2)CCN1,7.716319561004639,-7.1
ZINC000049388481,CC(C)c1cc(C(=O)[C@@H](C#N)c2nc(N)nc(N(C)C)n2)n[nH]1,7.980035305023193,-7.1
ZINC000005661868,COc1ccc(C(=O)/C(C#N)=C2\NNC(N)=C2C#N)cc1OC,7.7913336753845215,-7.0
ZINC000049388484,CC(C)c1cc(C(=O)[C@H](C#N)c2nc(N)nc(N(C)C)n2)n[nH]1,7.980035305023193,-7.0
ZINC000059713056,Nc1nc(N)c(C(=O)/N=C/NNc2nccs2)nc1Cl,8.267005920410156,-7.0
ZINC000005411854,C/C(=C/N=N/C(=O)c1cnccn1)NNC(=O)c1cnccn1,8.73051929473877,-6.9
ZINC000038169952,C/C(NNC(=N)N)=C1/C(=O)N(C2CCCCC2)C(=O)N=C1O,7.794223785400391,-6.9
ZINC000038166236,C/C(NNC(=N)N)=C1/C(=O)N(c2ccccc2)C(=O)N=C1O,8.019317626953125,-6.9
ZINC000049435285,CC(=O)c1c(C)[nH]c(C(=O)[C@H](C#N)c2nc(N)nc(N)n2)c1C,7.97817850112915,-6.8
ZINC000049388526,CN(C)c1nc(N)nc([C@@H](C#N)C(=O)c2cc(C3CC3)[nH]n2)n1,7.974524974822998,-6.8
ZINC000033394312,NC(=O)Cn1cc(/C=C2\N=C(S)NC2=O)c2ccccc21,7.78965425491333,-6.8
ZINC000038170429,CC/C(NNC(=N)N)=C1/C(=O)N(c2ccccc2)C(=O)N=C1O,7.845422267913818,-6.8
ZINC000050878948,C=CCNC(=O)/C(C#N)=C(\O)CN(C)c1ncnc2[nH]cnc12,9.081643104553224,-6.8
ZINC000038160013,NC(=S)NN/C(=C1\N=c2ccccc2=NC1=O)c1ccccc1,7.962167739868164,-6.7
ZINC000050853672,C=CCN/C(O)=C(\C#N)C(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,7.884896755218506,-6.6
ZINC000049435283,CC(=O)c1c(C)[nH]c(C(=O)[C@@H](C#N)c2nc(N)nc(N)n2)c1C,7.97817850112915,-6.6
ZINC000039335042,N#Cc1cc(C#N)c(SCC(=O)Nc2nncs2)nc1N,8.6554536819458,-6.6
